Simulation Summary - All Geometry/Material Combos
Timestamp: 20250318_113348
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 20

---- COMBINATIONS ----

Combo name: Geom_S1_based_on_schema - S1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 0.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 0.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=801.0050251256282 nm -> Rup=0.7036997604630992, Rdown=2.7102929910637102e-06
  λ=803.7688442211056 nm -> Rup=0.7110227472574074, Rdown=2.720329960183928e-06
  λ=806.532663316583 nm -> Rup=0.7178005149199997, Rdown=2.733411498379191e-06
  λ=809.2964824120603 nm -> Rup=0.7241483176831128, Rdown=2.7494356254100942e-06
  λ=812.0603015075377 nm -> Rup=0.7301837212461373, Rdown=2.7681096500835686e-06
  λ=814.8241206030151 nm -> Rup=0.7360143375907925, Rdown=2.7889588080584715e-06
  λ=817.5879396984925 nm -> Rup=0.7417236759765365, Rdown=2.81138821985535e-06
  λ=820.3517587939698 nm -> Rup=0.7473604422652818, Rdown=2.8347885332679523e-06
  λ=823.1155778894472 nm -> Rup=0.7529360142216094, Rdown=2.858650318815462e-06
  λ=825.8793969849246 nm -> Rup=0.7584310991882198, Rdown=2.8826453854374908e-06
  λ=828.643216080402 nm -> Rup=0.7638082646850921, Rdown=2.906651242636238e-06
  λ=831.4070351758794 nm -> Rup=0.7690251397214394, Rdown=2.930723565022965e-06
  λ=834.1708542713568 nm -> Rup=0.7740442990557614, Rdown=2.9550403674051063e-06
  λ=836.9346733668342 nm -> Rup=0.7788384589104594, Rdown=2.9798429656941974e-06
  λ=839.6984924623116 nm -> Rup=0.7833916788152478, Rdown=3.0053892455708167e-06
  λ=842.462311557789 nm -> Rup=0.7876980752378832, Rdown=3.0319241308150403e-06
  λ=845.2261306532664 nm -> Rup=0.7917594545282646, Rdown=3.0596654378998764e-06
  λ=847.9899497487438 nm -> Rup=0.795582832058639, Rdown=3.0888006170112295e-06
  λ=850.7537688442212 nm -> Rup=0.7991783555705851, Rdown=3.119489645117828e-06
  λ=853.5175879396985 nm -> Rup=0.8025578044617395, Rdown=3.151870312489159e-06
  λ=856.2814070351759 nm -> Rup=0.8057336170995756, Rdown=3.1860635897773673e-06
  λ=859.0452261306533 nm -> Rup=0.808718305846615, Rdown=3.2221781078544887e-06
  λ=861.8090452261307 nm -> Rup=0.8115241297073086, Rdown=3.2603135961159975e-06
  λ=864.572864321608 nm -> Rup=0.8141629584431878, Rdown=3.3005632646306223e-06
  λ=867.3366834170854 nm -> Rup=0.8166463249719969, Rdown=3.3430147580602774e-06
  λ=870.1005025125628 nm -> Rup=0.8189856838191601, Rdown=3.3877488532116484e-06
  λ=872.8643216080402 nm -> Rup=0.8211928567720373, Rdown=3.434834980274525e-06
  λ=875.6281407035176 nm -> Rup=0.8232805671970935, Rdown=3.484323243596226e-06
  λ=878.391959798995 nm -> Rup=0.8252628758105564, Rdown=3.5362339462453683e-06
  λ=881.1557788944724 nm -> Rup=0.8271552719938433, Rdown=3.5905474276770563e-06
  λ=883.9195979899498 nm -> Rup=0.8289741887503358, Rdown=3.6471986940176095e-06
  λ=886.6834170854272 nm -> Rup=0.8307358415348529, Rdown=3.706081766740845e-06
  λ=889.4472361809046 nm -> Rup=0.8324545532417503, Rdown=3.7670666342047916e-06
  λ=892.211055276382 nm -> Rup=0.8341410321097928, Rdown=3.830026877545612e-06
  λ=894.9748743718593 nm -> Rup=0.8358012237932155, Rdown=3.894870435066569e-06
  λ=897.7386934673367 nm -> Rup=0.8374361974089828, Rdown=3.961563271827697e-06
  λ=900.5025125628141 nm -> Rup=0.83904309155892, Rdown=4.030138403595497e-06
  λ=903.2663316582915 nm -> Rup=0.8406167062096258, Rdown=4.100689347119569e-06
  λ=906.0301507537688 nm -> Rup=0.8421511491154241, Rdown=4.173353274029169e-06
  λ=908.7939698492462 nm -> Rup=0.843641082272022, Rdown=4.248291463660409e-06
  λ=911.5577889447236 nm -> Rup=0.8450824034645549, Rdown=4.325672941309374e-06
  λ=914.321608040201 nm -> Rup=0.8464724424850026, Rdown=4.40566374182518e-06
  λ=917.0854271356784 nm -> Rup=0.8478098560818157, Rdown=4.488421405525314e-06
  λ=919.8492462311558 nm -> Rup=0.8490943892648031, Rdown=4.57409309491704e-06
  λ=922.6130653266332 nm -> Rup=0.8503266031697889, Rdown=4.662815824942869e-06
  λ=925.3768844221106 nm -> Rup=0.8515076105709982, Rdown=4.754717914512918e-06
  λ=928.140703517588 nm -> Rup=0.8526388325769442, Rdown=4.849921246939139e-06
  λ=930.9045226130654 nm -> Rup=0.8537217875682669, Rdown=4.948544055824917e-06
  λ=933.6683417085428 nm -> Rup=0.8547579278841507, Rdown=5.05070385616471e-06
  λ=936.4321608040202 nm -> Rup=0.8557485371792749, Rdown=5.15652006072942e-06
  λ=939.1959798994975 nm -> Rup=0.856694688865639, Rdown=5.266115921298586e-06
  λ=941.9597989949749 nm -> Rup=0.8575972508626403, Rdown=5.379619698029303e-06
  λ=944.7236180904523 nm -> Rup=0.8584569133938535, Rdown=5.497165238760765e-06
  λ=947.4874371859297 nm -> Rup=0.859274219017436, Rdown=5.618892292045498e-06
  λ=950.251256281407 nm -> Rup=0.8600495848955958, Rdown=5.744946825639376e-06
  λ=953.0150753768844 nm -> Rup=0.8607833209210018, Rdown=5.875481412878698e-06
  λ=955.7788944723618 nm -> Rup=0.8614756588475202, Rdown=6.010655464334069e-06
  λ=958.5427135678392 nm -> Rup=0.8621268139714632, Rdown=6.15063481230093e-06
  λ=961.3065326633166 nm -> Rup=0.8627371008754009, Rdown=6.2955899824622214e-06
  λ=964.070351758794 nm -> Rup=0.8633071188064723, Rdown=6.4456924556615025e-06
  λ=966.8341708542714 nm -> Rup=0.8638380126346885, Rdown=6.601108324513589e-06
  λ=969.5979899497488 nm -> Rup=0.8643318037309201, Rdown=6.761988954259256e-06
  λ=972.3618090452262 nm -> Rup=0.8647917707022122, Rdown=6.928458584677085e-06
  λ=975.1256281407036 nm -> Rup=0.8652228392753943, Rdown=7.100599368049081e-06
  λ=977.8894472361809 nm -> Rup=0.8656319110165892, Rdown=7.278435274642419e-06
  λ=980.6532663316583 nm -> Rup=0.8660280250041565, Rdown=7.4619176610858486e-06
  λ=983.4170854271357 nm -> Rup=0.8664222182564351, Rdown=7.650916851905044e-06
  λ=986.1809045226131 nm -> Rup=0.8668269545813442, Rdown=7.845225146484639e-06
  λ=988.9447236180905 nm -> Rup=0.8672550571778238, Rdown=8.044576129230477e-06
  λ=991.7085427135679 nm -> Rup=0.8677182219919618, Rdown=8.24868198372776e-06
  λ=994.4723618090453 nm -> Rup=0.868225376470833, Rdown=8.457284690769632e-06
  λ=997.2361809045226 nm -> Rup=0.8687812960596487, Rdown=8.67021048347062e-06
  λ=1000.0 nm -> Rup=0.8693858936364051, Rdown=8.887413284471227e-06
----------------------------------------
